"Reference.Code"	"year"	"time.pulled"	"Type"	"Journal"	"authors"	"article"	"original.sample.size"	"mention.outliers"	"final.sample.size"	"number.outliers"	"Basics"	"ANOVA"	"Regression"	"ChiSquare"	"Nonparametric"	"Modeling"	"BayesOther"
"@Kapson2012"	"2012"	"2012"	"Clinical"	"Journal of Clinical Psychology"	"Kapson, Leddy, Haaga"	"Specificity of Effects of Cognitive Behavior Therapy on Coping, Acceptance, and Distress Tolerance in a Randomized Controlled Trial for Smoking Cessation"	"100"	"No"	"100"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"
"@Kim2012"	"2012"	"2012"	"Clinical"	"Journal of Clinical Psychology"	"Kim, Zane, Blozis"	"Client Predictors of Short-Term Psychotherapy Outcomes Among Asian and White American Outpatients"	"60"	"No"	"60"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"
"@Leith2012"	"2012"	"2012"	"Clinical"	"Journal of Clinical Psychology"	"Leith, Stein"	"The Role of Personal Loss in the Caregiving Experiences of Well Siblings of Adults With Serious Mental Illness"	"103"	"No"	"103"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"
"@Yu-HsinLiao2012"	"2012"	"2012"	"Clinical"	"Journal of Clinical Psychology"	"Liao, Wei, Russell, Abraham"	"Experiential Self-Focus Writing as a Facilitator of Processing an Interpersonal Hurt"	"182"	"No"	"182"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"
"@Marty2012"	"2012"	"2012"	"Clinical"	"Journal of Clinical Psychology"	"Marty, Segal, Coolidge, Klebe"	"Analysis of the Psychometric Properties of the Interpersonal Needs Questionnaire (INQ) Among Community-Dwelling Older Adults"	"284"	"No"	"284"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"
"@Meinzer2012"	"2012"	"2012"	"Clinical"	"Journal of Clinical Psychology"	"Meinzer, Pettit, Leventhal, Hill"	"Explaining the Covariance Between Attention-Deficit Hyperactivity Disorder Symptoms and Depressive Symptoms: The Role of Hedonic Responsivity"	"198"	"No"	"198"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"
"@Nel2012"	"2012"	"2012"	"Clinical"	"Journal of Clinical Psychology"	"Nel, Pezzolesi, Stott"	"How Did We Learn Best? A Retrospective Survey of Clinical Psychology Training in the United Kingdom"	"357"	"No"	"357"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"
"@Osman2012"	"2012"	"2012"	"Clinical"	"Journal of Clinical Psychology"	"Osman, Wong, Bagge, Freedenthal, Gutierrez, Lozano"	"The Depression Anxiety Stress Scales?21 (DASS-21): Further Examination of Dimensions, Scale Reliability, and Correlates"	"887"	"No"	"887"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"
"@Osman2012"	"2012"	"2012"	"Clinical"	"Journal of Clinical Psychology"	"Osman, Wong, Bagge, Freedenthal, Gutierrez, Lozano"	"The Depression Anxiety Stress Scales?21 (DASS-21): Further Examination of Dimensions, Scale Reliability, and Correlates"	"410"	"No"	"410"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"
"@Park2012a"	"2012"	"2012"	"Clinical"	"Journal of Clinical Psychology"	"Park, Kim"	"The Role of Self-Construals in the Link Between Anger Regulation and Externalizing Problems in Korean American Adolescents: Testing a Moderated Mediation Model"	"166"	"No"	"166"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"0"
"@Quek2012"	"2012"	"2012"	"Clinical"	"Journal of Clinical Psychology"	"Quek, Sofronoff, Sheffield, White, kelly"	"Co-Occurring Anger in Young People With Asperger?s Syndrome"	"62"	"No"	"62"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"
"@Skopp2012a"	"2012"	"2012"	"Clinical"	"Journal of Clinical Psychology"	"Skopp, Bush, Vogel, Wade, Sirotin, McCann, Metzger-Abamukong"	"Development and Initial Testing of a Measure of Public and Self-Stigma in the Military"	"1038"	"No"	"1038"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"
"@Skopp2012"	"2012"	"2012"	"Clinical"	"Journal of Clinical Psychology"	"Skopp, Swanson, Luxton, Reger, Trofirnovich, First, Maxwell, Gahm"	"An Examination of the Diagnostic Efficiency of Post-Deployment Mental Health Screens"	"148"	"No"	"148"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"@Tanner2012"	"2012"	"2012"	"Clinical"	"Journal of Clinical Psychology"	"Tanner, Gray, Haaga"	"Association of Cotherapy Supervision With Client Outcomes, Attrition, and Trainee Effectiveness in a Psychotherapy Training Clinic"	"30"	"No"	"30"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"
"@Tanner2012"	"2012"	"2012"	"Clinical"	"Journal of Clinical Psychology"	"Tanner, Gray, Haaga"	"Association of Cotherapy Supervision With Client Outcomes, Attrition, and Trainee Effectiveness in a Psychotherapy Training Clinic"	"206"	"No"	"206"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"
"@Troister2012"	"2012"	"2012"	"Clinical"	"Journal of Clinical Psychology"	"Troister, Holden"	"A Two-Year Prospective Study of Psychache and its Relationship to Suicidality Among High-Risk Undergraduates"	"41"	"No"	"41"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"
"@Vanderveen2012"	"2012"	"2012"	"Clinical"	"Journal of Clinical Psychology"	"VanderVeen, Reddy, Veilleux, January, DiLillo"	"Clinical PhD Graduate Student Views of Their Scientist-Practitioner Training"	"653"	"No"	"653"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"
"@Viana2012"	"2012"	"2012"	"Clinical"	"Journal of Clinical Psychology"	"Viana, Gratz"	"The Role of Anxiety Sensitivity, Behavioral Inhibition, and Cognitive Biases in Anxiety Symptoms: Structural Equation Modeling of Direct and Indirect Pathways"	"892"	"Yes"	"842"	"50"	"0"	"0"	"1"	"0"	"0"	"0"	"0"
"@Zhang2012a"	"2012"	"2012"	"Clinical"	"Journal of Clinical Psychology"	"Zhang, Lamis, Yuanyuan"	"Measuring Chinese Psychological Traits and Social Support With Western Developed Instruments in Psychological Autopsy Studies"	"354"	"No"	"354"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"
"@Allan2017"	"2017"	"2017"	"Clinical"	"Journal of Clinical Psychology"	"Allan, Nicholas P; et al"	"Predictors and Outcomes of Growth Mixture Modeled Trajectories Across an Exposure-Based PTSD Intervention With Veterans"	"231"	"No"	"231"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"
"@Arrieta2017"	"2017"	"2017"	"Clinical"	"Journal of Clinical Psychology"	"Arrieta, Jafet; et al"	"Validity and Utility of the Patient Health Questionnaire (PHQ)-2 and PHQ-9 for Screening and Diagnosis of Depression in Rural Chiapas, Mexico: A Cross-Sectional Study"	"215"	"No"	"215"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"0"
"@Busscher2017"	"2017"	"2017"	"Clinical"	"Journal of Clinical Psychology"	"Busscher, Bert and Philip Spinhoven"	"Cognitive Coping as a Mechanism of Change in Cognitive-Behavioral Therapy for Fear of Flying: A Longitudinal Study With 3-Year Follow-Up"	"59"	"No"	"59"	"0"	"1"	"1"	"1"	"1"	"0"	"0"	"0"
"@DaSilva2017"	"2017"	"2017"	"Clinical"	"Journal of Clinical Psychology"	"da Silva, Ana Nunes; et al"	"Alexithymia and Emotional Processing: A Mediation Model"	"309"	"No"	"309"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"
"@Elliott2017"	"2017"	"2017"	"Clinical"	"Journal of Clinical Psychology"	"Elliott, Timothy R.; et al"	"Resilience and Traumatic Brain Injury Among Iraq/Afghanistan War Veterans: Differential Patterns of Adjustment and Quality of Life"	"127"	"No"	"127"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"0"
"@Finlay-Jones2017"	"2017"	"2017"	"Clinical"	"Journal of Clinical Psychology"	"Finlay-Jones, Amy; et al"	"Self-Compassion Online: A Pilot Study of an Internet-Based Self-Compassion Cultivation Program for Psychology Trainees"	"37"	"No"	"37"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"0"
"@Flannery2017"	"2017"	"2017"	"Clinical"	"Journal of Clinical Psychology"	"Flannery, Andrew; et al"	"Sluggish Cognitive Tempo is Associated With Poorer Study Skills, More Executive Functioning Deficits, and Greater Impairment in College Students"	"158"	"No"	"158"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"
"@Fleming2017"	"2017"	"2017"	"Clinical"	"Journal of Clinical Psychology"	"Fleming, John and Michelle Burns"	"Online Evaluative Conditioning Did Not Alter Internalized Homonegativity or Self-Esteem in Gay Men"	"196"	"Yes"	"169"	"27"	"0"	"1"	"0"	"1"	"0"	"0"	"0"
"@Glickman2017"	"2017"	"2017"	"Clinical"	"Journal of Clinical Psychology"	"Glickman, Kim; et al"	"Mediators of Outcome in Complicated Grief Treatment"	"69"	"No"	"69"	"0"	"1"	"0"	"1"	"0"	"1"	"0"	"0"
"@Hazlett-Stevens2017"	"2017"	"2017"	"Clinical"	"Journal of Clinical Psychology"	"Hazlett-Stevens, Holly and Yelena Oren"	"Effectiveness of Mindfulness-Based Stress Reduction Bibliotherapy: A Preliminary Randomize Controlled Trial"	"68"	"No"	"68"	"0"	"1"	"1"	"0"	"1"	"0"	"0"	"0"
"@Johnson2017"	"2017"	"2017"	"Clinical"	"Journal of Clinical Psychology"	"Johnson, Laura Renee; et al"	"Do Concepts of Depression Predict Treatment Pathways? A Closer Look at Explanatory Models Among Clinical and Nonclinical Samples in Uganda"	"279"	"No"	"279"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"0"
"@Locke2017"	"2017"	"2017"	"Clinical"	"Journal of Clinical Psychology"	"Locke, Kenneth D.; et al"	"Interpersonal Circumplex Profiles Of Persistent Depression: Goals, Self-Efficacy, Problems, And Effects Of Group Therapy"	"58"	"No"	"58"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"
"@Lutz2017"	"2017"	"2017"	"Clinical"	"Journal of Clinical Psychology"	"Lutz, Julie, and Amy Fiske"	"Perceived Burdensomeness in Older and Younger Adults: Evaluation of the Psychometric Properties of the Interpersonal Needs Questionnaire"	"693"	"Yes"	"520"	"173"	"1"	"0"	"0"	"0"	"0"	"1"	"0"
"@Maguen2017"	"2017"	"2017"	"Clinical"	"Journal of Clinical Psychology"	"Maguen, Shira; et al"	"Impact of Killing in War: A Randomized, Controlled Pilot Trial"	"33"	"No"	"33"	"0"	"1"	"0"	"1"	"1"	"0"	"0"	"0"
"@Miguel2017"	"2017"	"2017"	"Clinical"	"Journal of Clinical Psychology"	"Miguel, Fabiano Koich; et al"	"A Brazilian Investigation of the 36- and 16-Item Difficulties in Emotion Regulation Scales"	"725"	"No"	"725"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"0"
"@Nicolai2017"	"2017"	"2017"	"Clinical"	"Journal of Clinical Psychology"	"Nicolai, Shelly; et al"	"The Roles of Fathers' Posttraumatic Stress Symptoms and Adult Offspring's Differentiation of the Self in the Intergenerational Transmission of Captivity Trauma"	"246"	"No"	"246"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"
"@Resnik2017"	"2017"	"2017"	"Clinical"	"Journal of Clinical Psychology"	"Resnik, Linda; et al"	"Which Homeless Veterans Benefit from a Peer Mentor and How?"	"102"	"No"	"102"	"0"	"0"	"1"	"1"	"1"	"1"	"0"	"0"
"@Richtberg2017"	"2017"	"2017"	"Clinical"	"Journal of Clinical Psychology"	"Richtberg, Samantha; et al"	"Patient Characteristics and Patient Behavior as Predictors of Outcome in Cognitive Therapy and Exposure Therapy for Hypochondriasis"	"75"	"No"	"75"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"
"@Romano2017"	"2017"	"2017"	"Clinical"	"Journal of Clinical Psychology"	"Romano, Mia; et al"	"Therapist and Client Interactions in Motivational Interviewing for Social Anxiety Disorder"	"85"	"No"	"85"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"
"@Shaw2017"	"2017"	"2017"	"Clinical"	"Journal of Clinical Psychology"	"Shaw, T.; et al"	"Properties of the DASS-21 in an Australian Community Adolescent Population"	"2873"	"No"	"2873"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"
"@Shigemoto2017"	"2017"	"2017"	"Clinical"	"Journal of Clinical Psychology"	"Shigemoto, Yuki; et al"	"Function of Personal Growth Initiative on Posttraumatic Growth, Posttraumatic Stress, and Depression Over and Above Adaptive and Maladaptive Rumination"	"292"	"No"	"292"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"
"@Ung2017"	"2017"	"2017"	"Clinical"	"Journal of Clinical Psychology"	"Ung, Jennifer E; et al"	"An Exploratory Investigation of Animal Hoarding Symptoms in a Sample of Adults Diagnosed with Hoarding Disorder"	"65"	"No"	"65"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"
"@Vissers2017"	"2017"	"2017"	"Clinical"	"Journal of Clinical Psychology"	"Vissers, Wiede; et al"	"Symptom Reduction without Remoralization: A Randomized, Waiting-List Controller Study Aimed at Separating Two Beneficial Psychotherapy Outcome Effects"	"78"	"No"	"78"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"
"@Westbrook2017"	"2017"	"2017"	"Clinical"	"Journal of Clinical Psychology"	"Westbrook, John and Howard Berenbaum"	"Emotional Awareness Moderates the Relationship Between Childhood Abuse and Borderline Personality Disorder Symptom Factors"	"293"	"No"	"293"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"
"@Wilson2017"	"2017"	"2017"	"Clinical"	"Journal of Clinical Psychology"	"Wilson, Laura C.; et al"	"Examining the Psychological Effect of Rape Acknowledgment: The Interaction of Acknowledgment Status and Ambivalent Sexism"	"128"	"No"	"128"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"
"@Applebaum2012"	"2012"	"2012"	"Clinical"	"Journal of Consulting and Clinical Psychology"	"Applebaum, DuHamel, Winkel, Rini, Greene, Mosher, Redd"	"Therapeutic Alliance in Telephone-Administered Cognitive?Behavioral Therapy for Hematopoietic Stem Cell Transplant Survivors"	"46"	"No"	"46"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"@Arch2012"	"2012"	"2012"	"Clinical"	"Journal of Consulting and Clinical Psychology"	"Arch, Eifert, Davies, Vilardaga"	"Randomized Clinical Trial of Cognitive Behavioral Therapy (CBT) Versus Acceptance and Commitment Therapy (ACT) for Mixed Anxiety Disorders"	"143"	"Yes"	"143"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"
"@Best2012"	"2012"	"2012"	"Clinical"	"Journal of Consulting and Clinical Psychology"	"Best, Thei, Gredysa, Stein, Welch, Saelens, Perri, Schechtman, Epstein, Wilfley"	"Behavioral Economic Predictors of Overweight Children?s Weight Loss"	"241"	"Yes"	"241"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"
"@Borsari2012"	"2012"	"2012"	"Clinical"	"Journal of Consulting and Clinical Psychology"	"Borsari, Hustad, Mastroleo, Tevyaw, Barnett, Kahler, Short, Monti"	"Addressing Alcohol Use and Problems in Mandated College Students: A Randomized Clinical Trial Using Stepped Care"	"392"	"No"	"392"	"0"	"1"	"1"	"0"	"1"	"0"	"0"	"0"
"@Bowler2012"	"2012"	"2012"	"Clinical"	"Journal of Consulting and Clinical Psychology"	"Bowler, Mackintosh, Dunn, Mathews, Dalgleish, Hoppitt"	"A Comparison of Cognitive Bias Modification for Interpretation and Computerized Cognitive Behavior Therapy: Effects on Anxiety, Depression, Attentional Control, and Interpretive Bias"	"63"	"No"	"63"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"
"@Brown2012"	"2012"	"2012"	"Clinical"	"Journal of Consulting and Clinical Psychology"	"Brown, Lewis, Lamb, Stephens"	"The Influences of Delay and Severity of Intellectual Disability on Event Memory in Children"	"206"	"Yes"	"206"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"
"@Cook2012"	"2012"	"2012"	"Clinical"	"Journal of Consulting and Clinical Psychology"	"Cook, Fucito, Piaskecki, Piper, Schlam, Berg, Baker"	"Relations of Alcohol Consumption With Smoking Cessation Milestones and Tobacco Dependence"	"1504"	"No"	"1504"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"
"@Cullen2012"	"2012"	"2012"	"Clinical"	"Journal of Consulting and Clinical Psychology"	"Cullen, Clarke"	"A Multisite Randomized Trial of a Cognitive Skills Program for Male Mentally Disordered Offenders: Violence and Antisocial Behavior Outcomes"	"84"	"No"	"84"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"
"@Elbogen2012"	"2012"	"2012"	"Clinical"	"Journal of Consulting and Clinical Psychology"	"Elbogen, Johnson, Newton, Straits-Troster, Vasterling, Wagner, Beckham"	"Criminal Justice Involvement, Trauma, and Negative Affect in Iraq and Afghanistan War Era Veterans"	"1388"	"No"	"1388"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"
"@Galovski2012"	"2012"	"2012"	"Clinical"	"Journal of Consulting and Clinical Psychology"	"Galovski, Blain, Mott, Elwood, Houle"	"Manualized Therapy for PTSD: Flexing the Structure of Cognitive Processing Therapy"	"100"	"No"	"100"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"
"@Grilo2012"	"2012"	"2012"	"Clinical"	"Journal of Consulting and Clinical Psychology"	"Grilo, Crosby, Wilson, Masheb"	"12-Month Follow-Up of Fluoxetine and Cognitive Behavioral Therapy for Binge Eating Disorder"	"81"	"No"	"81"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"
"@Guan2012"	"2012"	"2012"	"Clinical"	"Journal of Consulting and Clinical Psychology"	"Guan, Fox, Prinstein"	"Nonsuicidal Self-Injury as a Time-Invariant Predictor of Adolescent Suicide Ideation and Attempts in a Diverse Community Sample"	"399"	"No"	"399"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"
"@Hinshaw2012"	"2012"	"2012"	"Clinical"	"Journal of Consulting and Clinical Psychology"	"Hinshaw, Owens, Zalecki, Huggins, Montenegro-Nevado, Schrodek, Swanson"	"Prospective Follow-Up of Girls With Attention-Deficit/Hyperactivity Disorder Into Early Adulthood: Continuing Impairment Includes Elevated Risk for Suicide Attempts and Self-Injury"	"216"	"No"	"216"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"
"@Levenson2012"	"2012"	"2012"	"Clinical"	"Journal of Consulting and Clinical Psychology"	"Levenson, Wallace, Rournier, Rucci"	"The Role of Personality Pathology in Depression Treatment Outcome With Psychotherapy and Pharmacotherapy"	"275"	"No"	"275"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"
"@Lewin2012"	"2012"	"2012"	"Clinical"	"Journal of Consulting and Clinical Psychology"	"Lewin, Peris, Nadai, McCracken, Piancentini"	"Agreement Between Therapists, Parents, Patients, and Independent Evaluators on Clinical Improvement in Pediatric Obsessive-Compulsive Disorder"	"71"	"No"	"71"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"
"@Liverant2012"	"2012"	"2012"	"Clinical"	"Journal of Consulting and Clinical Psychology"	"Liverant, Suvak, Pineles, Resick"	"Changes in Posttraumatic Stress Disorder and Depressive Symptoms During Cognitive Processing Therapy: Evidence for Concurrent Change"	"126"	"No"	"126"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"
"@Manne2012"	"2012"	"2012"	"Clinical"	"Journal of Consulting and Clinical Psychology"	"Manne, Kashy, Rubin, Hernandez, Bergman"	"Therapist and Patient Perceptions of Alliance and Progress in Psychological Therapy for Women Diagnosed With Gynecological Cancers"	"598"	"No"	"598"	"0"	"1"	"0"	"1"	"0"	"1"	"0"	"0"
"@McManus2012"	"2012"	"2012"	"Clinical"	"Journal of Consulting and Clinical Psychology"	"McManus, Surawy, Muse, Vazques-Montes, Williams"	"A Randomized Clinical Trial of Mindfulness-Based Cognitive Therapy Versus Unrestricted Services for Health Anxiety (Hypochondriasis)"	"74"	"No"	"74"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"
"@Meuret2012"	"2012"	"2012"	"Clinical"	"Journal of Consulting and Clinical Psychology"	"Meuret, Seidel, Rosenfield, Hofmann, Rosenfield"	"Does Fear Reactivity During Exposure Predict Panic Symptom Reduction?"	"30"	"No"	"30"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"
"@Pistorello2012"	"2012"	"2012"	"Clinical"	"Journal of Consulting and Clinical Psychology"	"Pistorello, Fruzetti, MacLane, Gallop, Iverson"	"Dialectical Behavior Therapy (DBT) Applied to College Students: A Randomized Clinical Trial"	"63"	"No"	"63"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"
"@Sheeber2012"	"2012"	"2012"	"Clinical"	"Journal of Consulting and Clinical Psychology"	"Sheeber, Seeley, Fiel, Davis, Sorensen, Kosty, Lewinsohn"	"Development and Pilot Evaluation of an Internet-Facilitated Cognitive-Behavioral Intervention for Maternal Depression"	"70"	"No"	"70"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"
"@Sibley2012"	"2012"	"2012"	"Clinical"	"Journal of Consulting and Clinical Psychology"	"Sibley, Pelham, Molina, Gnagy, Waxmonsky, Wymbs, Garefino, Babinski, Kuriyan"	"When Diagnosing ADHD in Young Adults Emphasize Informant Reports, DSM Items, and Impairment"	"321"	"No"	"321"	"0"	"1"	"1"	"0"	"1"	"1"	"0"	"0"
"@Siddique2012"	"2012"	"2012"	"Clinical"	"Journal of Consulting and Clinical Psychology"	"Siddique, Chung, Brown, Miranda"	"Comparative Effectiveness of Medication Versus Cognitive-Behavioral Therapy in a Randomized Controlled Trial of Low-Income Young Minority Women With Depression"	"267"	"No"	"267"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"
"@Strunk2012"	"2012"	"2012"	"Clinical"	"Journal of Consulting and Clinical Psychology"	"Strunk, Cooper, Ryan, DeRubeis, Hollon"	"The Process of Change in Cognitive Therapy for Depression When Combined With Antidepressant Medication: Predictors of Early Intersession Symptom Gains"	"193"	"Yes"	"176"	"17"	"0"	"0"	"0"	"0"	"0"	"1"	"0"
"@Wolitzky-Taylor2012"	"2012"	"2012"	"Clinical"	"Journal of Consulting and Clinical Psychology"	"Wolitzky-Taylor, Arch, Rosenfield, Craske"	"Moderators and Non-Specific Predictors of Treatment Outcome for Anxiety Disorders: A Comparison of Cognitive Behavioral Therapy to Acceptance and Commitment Therapy"	"87"	"No"	"87"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"
"@Andover2017"	"2017"	"2017"	"Clinical"	"Journal of Consulting and Clinical Psychology"	"Andover, Margaret S.; et al"	"An Intervention for Nonsuicidal Self-Injury in Young Adults: A Pilot Randomized Controlled Trial"	"33"	"Yes"	"33"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"0"
"@Baumann2017"	"2017"	"2017"	"Clinical"	"Journal of Consulting and Clinical Psychology"	"Baumann, Sophie; et al"	"Does Impaired Mental Health Interfere With the Outcome of Brief Alcohol Intervention at General Hospitals?"	"960"	"Yes"	"959"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"0"
"@Bentley2017"	"2017"	"2017"	"Clinical"	"Journal of Consulting and Clinical Psychology"	"Bentley, Kate H."	"A Functional Analysis of Two Transdiagnostic, Emotion-Focused Interventions on Nonsuicidal Self-Injury"	"10"	"No"	"10"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"
"@Berman2017"	"2017"	"2017"	"Clinical"	"Journal of Consulting and Clinical Psychology"	"Berman, Mitchell E.; et al"	"Effect of Alcohol Dose on Deliberate Self-Harm in Men and Women"	"210"	"No"	"210"	"0"	"0"	"1"	"1"	"1"	"0"	"1"	"0"
"@Boswell2017a"	"2017"	"2017"	"Clinical"	"Journal of Consulting and Clinical Psychology"	"Boswell, James F.; et al"	"Interpersonal Pathoplasticity and Trajectories of Change in Routine Adolescent and Young Adult Residential Substance Abuse Treatment"	"100"	"Yes"	"100"	"0"	"1"	"1"	"0"	"1"	"0"	"1"	"0"
"@Chambless2017a"	"2017"	"2017"	"Clinical"	"Journal of Consulting and Clinical Psychology"	"Chambless, Dianne L.; et al"	"Prediction and Moderation of Improvement in Cognitive-Behavioral and Psychodynamic Psychotherapy for Panic Disorder"	"161"	"No"	"161"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"
