"female" "mathkind" "mathgain" "ses" "mathprep" "classid" "schoolid" "childid"
1 422 57 0.939999997615814 2.5 107 7 64
1 487 23 -1.01999998092651 2.5 107 7 65
0 435 53 -0.879999995231628 2.5 107 7 66
1 411 114 -0.779999971389771 2.32999992370605 162 7 67
1 396 56 -0.980000019073486 2.32999992370605 162 7 68
0 462 55 1.4099999666214 3.32999992370605 280 7 69
1 463 28 -0.349999994039536 3.32999992370605 280 7 70
0 444 61 -1.14999997615814 3.32999992370605 280 7 71
1 451 59 -0.46000000834465 3.32999992370605 280 7 72
1 437 57 -0.209999993443489 3.32999992370605 280 7 73
0 484 85 0.620000004768372 2 147 8 74
0 488 28 0.180000007152557 2 147 8 75
1 475 166 -0.140000000596046 2 147 8 76
0 544 61 1.11000001430511 2 147 8 77
1 467 47 -0.790000021457672 2 147 8 78
1 509 62 0.860000014305115 2 265 8 79
1 489 35 -0.109999999403954 2 265 8 80
1 448 52 0.150000005960464 2 265 8 81
0 516 70 0.280000001192093 2 265 8 82
0 489 11 -1.37000000476837 1.5 279 8 83
0 519 37 1.3400000333786 1.5 279 8 84
0 517 36 -0.159999996423721 1.5 279 8 85
1 552 13 0.689999997615814 1.5 279 8 86
0 475 6 0.200000002980232 1.5 279 8 87
1 535 21 0.389999985694885 1.5 279 8 88
1 472 26 1.3400000333786 1.5 279 8 89
1 497 22 -0.109999999403954 1.25 17 9 90
0 542 26 -0.0299999993294477 1.25 17 9 91
0 422 74 1 1.25 17 9 92
1 482 41 -0.0299999993294477 1.16999995708466 58 9 93
0 459 13 0 3 283 9 94
1 450 33 -1.45000004768372 3 283 9 95
0 376 102 -0.300000011920929 3.25 178 10 96
1 460 72 -0.379999995231628 3.25 178 10 97
1 473 44 -0.819999992847443 2.5 208 10 98
0 428 78 -0.970000028610229 2.5 208 10 99
0 437 48 -0.939999997615814 2.5 208 10 100
0 436 90 -1.26999998092651 2.5 208 10 101
1 449 78 -1.0900000333786 2 278 10 102
0 477 107 0.189999997615814 2 278 10 103
1 477 67 -0.100000001490116 2 278 10 104
1 410 75 -0.209999993443489 2 278 10 105
0 439 69 0.150000005960464 2 278 10 106
0 463 51 1.70000004768372 2 278 10 107
1 456 70 -0.579999983310699 2 278 10 108
0 433 103 -1 2 278 10 109
0 433 90 -0.449999988079071 3.75 303 10 110
0 427 85 -0.370000004768372 3.75 303 10 111
1 444 55 -1.21000003814697 3.75 303 10 112
1 426 65 -1.45000004768372 3.75 303 10 113
1 526 44 0.829999983310699 4 86 11 114
0 494 66 1.41999995708466 4 86 11 115
0 494 58 2.15000009536743 4 86 11 116
1 479 90 0.560000002384186 4 86 11 117
1 538 35 -0.660000026226044 4 86 11 118
1 484 84 0.899999976158142 2.5 113 11 119
0 576 8 -0.0700000002980232 2.5 113 11 120
1 485 58 0.400000005960464 2.5 113 11 121
0 535 22 1.30999994277954 2.25 131 11 122
1 467 77 -0.270000010728836 2.25 131 11 123
0 505 25 -0.00999999977648258 2.24000000953674 172 11 124
1 480 22 0.270000010728836 2.24000000953674 172 11 125
1 629 -35 0.0700000002980232 2.24000000953674 172 11 126
1 488 38 0.939999997615814 2.24000000953674 172 11 127
1 509 28 0.629999995231628 2.5 195 11 128
1 493 77 0.409999996423721 2.5 195 11 129
0 470 69 -0.319999992847443 2.5 195 11 130
0 529 62 2.05999994277954 2.5 195 11 131
1 468 38 -0.0199999995529652 3 201 11 132
1 514 18 0.0299999993294477 3 201 11 133
1 465 67 0.209999993443489 3 201 11 134
1 511 20 1.05999994277954 3 201 11 135
0 461 42 -1.16999995708466 3 201 11 136
0 496 54 0.709999978542328 2 233 11 137
1 499 111 0.610000014305115 2 285 11 138
1 454 68 -0.340000003576279 2 285 11 139
1 527 38 0.100000001490116 2 285 11 140
1 516 51 0.800000011920929 2.5 293 11 141
0 434 94 -0.769999980926514 2.5 293 11 142
1 499 39 1.32000005245209 2.5 293 11 143
0 469 96 0.0299999993294477 2.5 293 11 144
0 424 36 -0.0299999993294477 3 20 12 145
0 485 58 -0.0299999993294477 3 20 12 146
1 463 53 0.589999973773956 3 20 12 147
0 427 63 0.449999988079071 1.5 49 12 148
0 401 74 -0.219999998807907 1.5 49 12 149
1 486 23 0.610000014305115 1.5 49 12 150
1 522 12 -0.0299999993294477 1.5 49 12 151
0 450 53 -0.0299999993294477 1.5 49 12 152
0 408 104 -0.0299999993294477 1.5 49 12 153
0 493 27 1.12000000476837 2 81 12 154
1 417 46 -0.0299999993294477 2 81 12 155
0 428 95 -0.0299999993294477 2 81 12 156
1 453 50 -0.600000023841858 2 81 12 157
1 435 84 -0.0299999993294477 2 81 12 158
1 450 40 -0.600000023841858 2 81 12 159
1 464 59 -0.0299999993294477 2 81 12 160
1 433 91 -0.419999986886978 2 81 12 161
0 429 111 0.730000019073486 3.05999994277954 251 12 162
1 497 41 0.879999995231628 3.05999994277954 251 12 163
0 430 18 0.259999990463257 3.05999994277954 251 12 164
1 535 28 0.0700000002980232 2.5 302 12 165
0 535 5 0.180000007152557 2.5 302 12 166
1 508 67 1.63999998569489 2.5 302 12 167
0 459 59 -0.0299999993294477 2.5 302 12 168
0 474 45 0.730000019073486 2.5 302 12 169
0 491 47 -0.0299999993294477 2.5 302 12 170
1 491 26 1.32000005245209 2.5 302 12 171
0 433 52 0.860000014305115 2.5 64 13 172
1 462 32 0.579999983310699 2.5 64 13 173
1 462 44 -0.759999990463257 2.5 64 13 174
1 506 41 -0.239999994635582 2.5 64 13 175
0 477 98 0.00999999977648258 2.5 64 13 176
1 466 59 0.28999999165535 2 166 13 177
0 529 -11 0.0799999982118607 2 166 13 178
1 499 35 -0.189999997615814 2 166 13 179
0 481 79 0.310000002384186 2 166 13 180
0 470 26 -0.370000004768372 5.25 41 14 181
0 519 -11 -0.140000000596046 5.25 41 14 182
1 441 23 0.0500000007450581 5.25 41 14 183
0 436 88 0.28999999165535 5.25 41 14 184
1 431 52 -1.12000000476837 5.25 41 14 185
0 515 13 0.239999994635582 3 141 14 186
0 467 32 -0.419999986886978 3 141 14 187
1 455 19 -0.300000011920929 3 141 14 188
1 415 62 -0.200000002980232 3 141 14 189
0 477 69 0.0900000035762787 3 141 14 190
0 490 71 0.00999999977648258 2 167 14 191
0 521 25 0.0599999986588955 2 167 14 192
0 437 90 0.0299999993294477 2 167 14 193
0 526 41 -0.389999985694885 2 167 14 194
1 434 65 0.340000003576279 2 167 14 195
0 342 182 -0.239999994635582 1.33000004291534 5 15 196
1 404 79 0.730000019073486 6 85 15 197
1 457 36 0.0700000002980232 6 85 15 198
1 457 47 -0.370000004768372 6 85 15 199
1 397 103 -0.349999994039536 6 85 15 200
0 422 91 -0.28999999165535 6 85 15 201
0 424 113 -0.910000026226044 6 85 15 202
0 439 98 0.230000004172325 6 85 15 203
1 449 94 -0.479999989271164 2.25 92 15 204
0 506 39 0.970000028610229 2.5 119 15 205
0 533 33 -0.970000028610229 1 260 15 206
1 446 38 -1.00999999046326 1 260 15 207
0 521 22 -0.759999990463257 1 260 15 208
0 412 118 1.46000003814697 2.29999995231628 206 16 209
1 474 83 0.680000007152557 2.29999995231628 206 16 210
1 447 78 0.0500000007450581 2.29999995231628 206 16 211
0 441 74 -1.51999998092651 2.29999995231628 206 16 212
1 411 90 -0.0199999995529652 2.29999995231628 206 16 213
1 390 108 -0.439999997615814 4 256 16 214
0 429 51 -1.02999997138977 2.82999992370605 7 17 215
1 381 143 -0.490000009536743 3.25 10 17 216
0 419 69 -1.35000002384186 3.25 10 17 217
0 441 54 -0.490000009536743 2.5 87 17 218
0 379 129 -0.509999990463257 3.32999992370605 177 17 219
1 434 65 1.03999996185303 3.32999992370605 177 17 220
0 416 57 -0.720000028610229 3.32999992370605 177 17 221
0 403 49 -0.689999997615814 3 216 17 222
0 457 62 -0.930000007152557 3 216 17 223
0 419 71 -0.610000014305115 2.25 31 18 224
1 409 75 0.569999992847443 2.25 31 18 225
0 290 164 -0.140000000596046 2.25 31 18 226
1 440 49 -0.0299999993294477 2.25 31 18 227
0 431 80 -0.180000007152557 2.25 98 19 228
0 437 37 -0.850000023841858 2.25 98 19 229
0 477 45 -0.129999995231628 2.25 98 19 230
0 416 56 1.55999994277954 2.25 98 19 231
1 455 50 -0.159999996423721 2.25 98 19 232
1 470 24 -0.360000014305115 5.5 110 19 233
0 456 101 -0.150000005960464 5.5 110 19 234
1 422 31 -0.610000014305115 5.5 110 19 235
1 484 51 1.22000002861023 5.5 110 19 236
1 463 57 0.28999999165535 1.75 170 19 237
1 398 79 -0.660000026226044 1.75 170 19 238
1 445 72 -0.800000011920929 3.32999992370605 30 20 239
1 484 29 -0.579999983310699 3.32999992370605 30 20 240
1 393 47 -0.509999990463257 3.32999992370605 30 20 241
1 447 68 -1.00999999046326 3.32999992370605 30 20 242
0 429 67 -0.469999998807907 2.5 94 20 243
0 453 41 -0.639999985694885 2.5 94 20 244
1 508 63 -0.239999994635582 2.5 94 20 245
1 462 97 0.610000014305115 2.5 94 20 246
0 435 67 -0.629999995231628 2.5 94 20 247
0 485 43 -0.400000005960464 2.5 94 20 248
0 484 68 -0.980000019073486 2.25 101 20 249
1 417 79 -1.1599999666214 2.25 101 20 250
0 431 36 -0.319999992847443 3.75 6 21 251
0 454 23 -0.0299999993294477 3.75 6 21 252
0 452 34 0.280000001192093 3.75 6 21 253
1 448 44 0.310000002384186 3.75 6 21 254
1 405 60 0.330000013113022 3.75 6 21 255
0 460 86 0.200000002980232 3.17000007629395 130 21 256
0 435 24 -0.439999997615814 3.17000007629395 130 21 257
0 461 73 0.680000007152557 3.17000007629395 130 21 258
0 434 75 0.100000001490116 3.17000007629395 130 21 259
0 494 46 0.25 4.5 158 21 260
0 443 87 0.509999990463257 4.5 158 21 261
0 524 49 0.0799999982118607 4.5 158 21 262
0 437 67 0.529999971389771 4.5 158 21 263
0 392 91 -0.800000011920929 4.5 158 21 264
0 457 28 -0.159999996423721 4.5 158 21 265
1 431 102 -1.10000002384186 4.5 158 21 266
1 494 39 0.370000004768372 4.5 158 21 267
0 433 46 -1.44000005722046 2 159 22 268
1 449 48 0.469999998807907 2 159 22 269
1 447 39 0.310000002384186 2 159 22 270
1 462 25 -0.300000011920929 2 159 22 271
0 459 82 -0.889999985694885 2.25 43 23 272
1 495 34 0.589999973773956 2.25 43 23 273
0 483 43 -0.779999971389771 2.25 43 23 274
1 462 117 -0.810000002384186 2 47 23 275
0 447 74 -0.75 2.25 163 23 276
1 497 30 -0.330000013113022 2.25 55 24 277
1 494 -2 0.189999997615814 2.25 55 24 278
1 427 65 0.680000007152557 2.25 55 24 279
1 447 30 -0.170000001788139 2.25 55 24 280
1 477 0 -0.870000004768372 2.25 55 24 281
0 539 -16 1.57000005245209 3 77 24 282
1 431 106 -0.340000003576279 2.25 93 24 283
1 496 88 0.209999993443489 2.5 150 24 284
1 443 38 -0.0299999993294477 2.17000007629395 97 25 285
1 469 27 0.0299999993294477 2.17000007629395 97 25 286
1 374 59 -0.400000005960464 2 297 25 287
1 513 -6 -0.759999990463257 2 297 25 288
1 450 34 -0.0299999993294477 2 297 25 289
0 447 7 0.529999971389771 2 297 25 290
0 450 39 -0.639999985694885 2 297 25 291
0 439 97 0.670000016689301 2.25 78 26 292
0 480 56 -0.0299999993294477 2.25 78 26 293
1 497 56 -1.37000000476837 2.25 78 26 294
1 482 43 -0.25 2.25 78 26 295
0 409 71 0.349999994039536 2.25 78 26 296
1 466 42 -0.529999971389771 2.25 78 26 297
0 439 88 -0.319999992847443 2.25 78 26 298
0 430 86 1.03999996185303 2.25 78 26 299
1 470 41 0.400000005960464 4.75 102 26 300
0 476 43 -0.0299999993294477 4.75 102 26 301
0 481 78 -1.35000002384186 4.75 102 26 302
0 443 65 -0.0299999993294477 2 139 26 303
1 415 -2 -0.0299999993294477 2 139 26 304
1 503 41 0.540000021457672 2 139 26 305
0 468 64 0.209999993443489 2 139 26 306
0 515 30 1.01999998092651 3 104 27 307
0 505 48 1.13999998569489 3 104 27 308
0 440 44 0.509999990463257 3 104 27 309
0 454 25 -0.629999995231628 3 104 27 310
0 520 69 0.360000014305115 3 104 27 311
1 542 138 2.26999998092651 3 104 27 312
1 498 81 0.519999980926514 2.17000007629395 190 27 313
1 495 41 -0.389999985694885 2.17000007629395 190 27 314
0 491 54 -0.180000007152557 2.17000007629395 190 27 315
1 499 88 -0.379999995231628 2.17000007629395 190 27 316
1 450 56 -0.200000002980232 2.17000007629395 190 27 317
0 471 82 -0.0599999986588955 2.17000007629395 190 27 318
1 497 78 0.449999988079071 2.17000007629395 190 27 319
0 568 19 1.27999997138977 2.17000007629395 190 27 320
0 509 24 0.629999995231628 1 230 27 321
1 544 3 0.0199999995529652 1 230 27 322
0 536 42 -0.00999999977648258 2 262 27 323
0 510 67 0.28999999165535 2 262 27 324
1 408 76 0.800000011920929 2 262 27 325
0 471 54 0.0500000007450581 2 262 27 326
1 513 113 2.1800000667572 2 262 27 327
0 544 -5 0.400000005960464 2 114 28 328
1 464 33 -1.45000004768372 2 114 28 329
1 467 47 -1.10000002384186 2 114 28 330
0 397 50 0 2 114 28 331
0 414 71 0.360000014305115 2 118 28 332
0 511 11 -0.949999988079071 3 202 28 333
0 524 2 0.219999998807907 3 202 28 334
1 454 10 -0.670000016689301 3 202 28 335
1 478 49 0.219999998807907 1 203 28 336
1 290 197 -0.46000000834465 1 203 28 337
1 493 39 0.449999988079071 3.75 115 29 338
1 483 89 -0.0599999986588955 3.75 115 29 339
0 490 56 -0.720000028610229 3.75 115 29 340
1 489 34 -0.850000023841858 3.75 115 29 341
1 505 17 -0.0500000007450581 2 223 29 342
0 452 87 1.03999996185303 2 223 29 343
1 536 -7 -0.349999994039536 2 223 29 344
1 537 42 -0.720000028610229 2 223 29 345
0 475 13 0.829999983310699 2 175 30 346
1 451 29 -0.100000001490116 2 175 30 347
0 401 41 -0.370000004768372 2 175 30 348
1 497 -2 -0.0500000007450581 4 51 31 349
0 406 64 -0.349999994039536 4 51 31 350
0 460 41 -0.0500000007450581 4 51 31 351
1 432 18 -0.479999989271164 4 51 31 352
1 414 61 -0.779999971389771 4 51 31 353
0 370 91 -0.800000011920929 4 51 31 354
0 405 94 -0.25 2 156 31 355
0 454 31 0.0199999995529652 2 156 31 356
0 454 55 0.25 2 156 31 357
1 471 14 -0.720000028610229 2 156 31 358
1 463 43 -0.230000004172325 2 156 31 359
1 448 70 1.05999994277954 2 156 31 360
0 480 76 -0.879999995231628 5.25 234 31 361
1 467 25 -0.119999997317791 5.25 234 31 362
1 495 45 -0.379999995231628 5.25 234 31 363
1 451 44 1.3400000333786 5.25 234 31 364
1 370 163 -0.959999978542328 5.25 234 31 365
1 435 97 0.00999999977648258 5.25 234 31 366
1 410 84 -0.0299999993294477 5.25 234 31 367
1 451 -20 0.389999985694885 2 258 31 368
1 487 13 -0.419999986886978 2 258 31 369
0 453 7 -0.529999971389771 2 258 31 370
0 470 100 0.00999999977648258 2 191 32 371
1 488 61 0.600000023841858 2.25 204 32 372
1 561 3 1.05999994277954 2.25 204 32 373
1 452 92 0.490000009536743 2 252 32 374
0 516 32 -0.5 2 252 32 375
1 470 68 0.540000021457672 2 252 32 376
1 515 56 -0.360000014305115 2 252 32 377
0 492 74 -0.740000009536743 2 252 32 378
1 529 -12 -0.0299999993294477 2 252 32 379
1 398 65 -0.119999997317791 4.5 26 33 380
1 453 49 -0.720000028610229 4.5 26 33 381
1 523 47 -0.28999999165535 4.5 26 33 382
1 440 94 -0.0299999993294477 4.5 26 33 383
0 419 102 0.00999999977648258 4.5 26 33 384
0 395 103 -0.0900000035762787 4.5 26 33 385
0 483 32 -1.16999995708466 4.5 26 33 386
1 439 100 0.600000023841858 4.5 26 33 387
1 498 53 1.32000005245209 4.5 26 33 388
1 478 96 0.990000009536743 4.5 26 33 389
0 508 -20 -0.400000005960464 2.29999995231628 32 33 390
1 496 29 1.16999995708466 2.29999995231628 32 33 391
0 448 101 -0.310000002384186 2.29999995231628 32 33 392
1 483 12 -0.0299999993294477 2.29999995231628 32 33 393
0 476 27 0.200000002980232 5.5 88 33 394
1 485 16 0.0799999982118607 5.5 88 33 395
1 443 39 -1.32000005245209 4 100 33 396
0 423 62 -0.400000005960464 2.75 229 33 397
0 380 118 -0.00999999977648258 2.75 229 33 398
1 395 137 0.0599999986588955 2.75 229 33 399
0 454 58 2.17000007629395 2.75 229 33 400
0 393 57 0.550000011920929 2.75 229 33 401
0 453 60 -0.409999996423721 3 2 34 402
0 472 52 -1.61000001430511 3 2 34 403
1 437 85 0.550000011920929 3 2 34 404
1 475 56 0.0399999991059303 4.17000007629395 188 34 405
0 412 41 -1.42999994754791 4.17000007629395 188 34 406
1 423 73 -1.42999994754791 4.17000007629395 188 34 407
0 439 -12 -0.829999983310699 4.17000007629395 188 34 408
1 422 44 -0.970000028610229 5 56 35 409
1 507 10 -0.490000009536743 5 56 35 410
0 483 -7 -0.620000004768372 5 56 35 411
1 499 48 -1.00999999046326 5 56 35 412
1 478 55 0.389999985694885 5 56 35 413
0 456 53 -0.310000002384186 2 122 35 414
0 494 8 -0.850000023841858 2 122 35 415
1 480 54 -0.519999980926514 2 122 35 416
0 551 7 -0.270000010728836 2 122 35 417
0 446 26 -1.12999999523163 2 122 35 418
0 476 34 -0.170000001788139 2 122 35 419
1 500 31 -0.180000007152557 3 63 36 420
1 500 80 -0.159999996423721 3 63 36 421
1 446 77 0.540000021457672 1.5 180 36 422
0 445 60 1.07000005245209 1.5 180 36 423
1 436 88 -0.839999973773956 1.5 180 36 424
1 504 76 -0.5 1.5 180 36 425
0 420 88 -0.349999994039536 1.5 180 36 426
1 495 76 -0.270000010728836 1.5 180 36 427
1 448 37 -0.0199999995529652 2 103 37 428
1 465 5 -0.439999997615814 2 103 37 429
1 473 18 -0.479999989271164 2 103 37 430
0 350 136 -0.349999994039536 3 125 37 431
1 429 65 0.5 3 125 37 432
0 450 53 -0.509999990463257 3 125 37 433
0 440 48 0.109999999403954 3 125 37 434
1 407 74 -1.01999998092651 2 210 37 435
1 438 80 0.209999993443489 2 210 37 436
1 434 6 -0.280000001192093 2 210 37 437
0 452 39 0.400000005960464 1.5 249 37 438
1 477 10 0.259999990463257 2.5 16 38 439
0 502 61 0.370000004768372 2.5 16 38 440
0 470 32 -0.370000004768372 2.5 16 38 441
0 475 77 -0.379999995231628 2.5 16 38 442
1 437 57 1.3400000333786 2.5 16 38 443
0 359 99 0.280000001192093 2.5 16 38 444
0 441 9 1.25999999046326 2.5 309 38 445
0 436 51 0.0700000002980232 2.5 309 38 446
0 494 34 -0.899999976158142 2.5 309 38 447
0 544 -34 -0.660000026226044 1.5 79 39 448
0 483 28 -0.600000023841858 1.5 79 39 449
1 516 74 -0.620000004768372 1.5 79 39 450
0 545 -22 -0.170000001788139 1.5 79 39 451
0 451 45 -0.389999985694885 1.5 79 39 452
1 471 21 -0.860000014305115 1.75 198 39 453
1 511 0 -0.819999992847443 1.75 198 39 454
1 490 48 -1.12000000476837 2 274 39 455
1 592 -11 -0.28999999165535 2.75 288 39 456
0 424 85 0.159999996423721 2.75 288 39 457
0 566 52 -0.5 2.75 288 39 458
0 450 41 -0.610000014305115 2.75 288 39 459
0 475 16 -0.360000014305115 1.5 9 40 460
1 526 8 -0.519999980926514 1.5 9 40 461
0 448 -51 -0.720000028610229 1.5 9 40 462
0 467 87 -0.569999992847443 2.5 257 40 463
0 525 64 -0.620000004768372 2.5 257 40 464
0 491 24 -0.219999998807907 2.5 257 40 465
1 464 85 -0.270000010728836 2.5 257 40 466
0 446 65 1.20000004768372 2.82999992370605 18 41 467
0 431 91 -0.409999996423721 5.25 50 41 468
0 450 58 0.25 5.25 50 41 469
1 474 77 0.689999997615814 5.25 50 41 470
0 543 0 0.170000001788139 5.25 50 41 471
0 473 88 -0.379999995231628 2.25 142 41 472
0 452 70 -0.479999989271164 2.25 142 41 473
0 498 103 -0.389999985694885 2.25 142 41 474
1 472 67 -1.11000001430511 2.25 142 41 475
1 459 76 -0.0299999993294477 2 54 42 476
0 523 33 0.409999996423721 2 54 42 477
1 506 48 -0.649999976158142 2 54 42 478
1 481 59 0.300000011920929 2 54 42 479
1 463 50 0.629999995231628 2.75 70 42 480
1 484 77 -0.939999997615814 3 207 42 481
1 430 33 -0.930000007152557 3 207 42 482
1 463 40 -1.01999998092651 3 207 42 483
1 475 55 0.0500000007450581 3 207 42 484
0 483 47 -1.24000000953674 3 207 42 485
1 424 62 -0.920000016689301 3 207 42 486
0 461 74 0.430000007152557 2.5 296 42 487
1 468 39 -0.200000002980232 2.5 296 42 488
1 415 99 0 2.5 296 42 489
1 432 59 0.100000001490116 2.5 296 42 490
0 499 54 -0.140000000596046 2.5 296 42 491
0 453 91 -0.330000013113022 2.5 296 42 492
0 508 67 1.6599999666214 2.5 296 42 493
1 470 25 0.490000009536743 2.25 220 43 494
0 471 70 0.259999990463257 2.25 220 43 495
1 517 37 -0.819999992847443 2.25 227 43 496
1 422 90 -1.35000002384186 2.25 227 43 497
0 482 65 0.970000028610229 2.5 176 44 498
1 414 86 -0.0399999991059303 2.5 176 44 499
1 435 79 -0.0299999993294477 2.5 176 44 500
1 465 71 0.430000007152557 2.5 176 44 501
1 499 36 0.680000007152557 2 219 44 502
0 423 98 -0.319999992847443 2 219 44 503
1 448 68 -0.0299999993294477 2 219 44 504
0 483 34 -1.11000001430511 2 219 44 505
0 443 126 -0.300000011920929 2.24000000953674 246 44 506
1 523 25 0.540000021457672 2.24000000953674 246 44 507
1 417 70 -0.699999988079071 2.24000000953674 246 44 508
0 432 115 -0.0299999993294477 2.24000000953674 246 44 509
0 547 -3 0.540000021457672 2 268 44 510
1 477 80 1.21000003814697 2 268 44 511
0 420 97 -0.0299999993294477 2 268 44 512
0 509 67 0.829999983310699 2 268 44 513
1 494 59 -0.469999998807907 2 268 44 514
1 503 8 -0.0399999991059303 3.25 300 45 515
0 461 87 0.28999999165535 3.25 300 45 516
0 469 71 -1.27999997138977 3.25 300 45 517
0 482 90 -0.959999978542328 3.25 300 45 518
1 459 77 -0.670000016689301 3.25 300 45 519
0 381 97 -0.159999996423721 2 19 46 520
0 464 62 -0.740000009536743 2 19 46 521
0 484 39 1.0900000333786 2.67000007629395 69 46 522
0 470 28 0.509999990463257 2.67000007629395 69 46 523
1 502 47 -0.0799999982118607 2.67000007629395 69 46 524
1 441 72 -0.360000014305115 1.75 71 46 525
0 459 85 0.829999983310699 1.75 71 46 526
0 420 81 -0.569999992847443 2.5 133 46 527
1 474 34 -0.119999997317791 2.5 133 46 528
1 461 36 0.349999994039536 2.5 133 46 529
0 481 16 0.0700000002980232 3.17000007629395 240 46 530
1 438 34 -0.829999983310699 3.17000007629395 240 46 531
1 469 71 -0.579999983310699 3.17000007629395 240 46 532
0 413 88 -0.740000009536743 2.5 61 47 533
1 462 14 -0.810000002384186 2.5 61 47 534
0 488 91 0.5 3.17000007629395 82 47 535
0 400 57 0.0700000002980232 3.17000007629395 82 47 536
0 442 7 -0.0399999991059303 3.17000007629395 82 47 537
0 485 54 0.0500000007450581 3.17000007629395 82 47 538
0 290 253 -0.400000005960464 3.17000007629395 82 47 539
0 438 70 -0.109999999403954 2 155 47 540
1 446 52 -0.219999998807907 2 155 47 541
1 501 52 1.11000001430511 2 155 47 542
0 421 68 -0.0299999993294477 2 153 48 543
1 418 40 -0.430000007152557 2 153 48 544
1 430 25 -0.560000002384186 2 153 48 545
1 464 61 1.9099999666214 2 153 48 546
0 458 36 1.32000005245209 2 153 48 547
1 391 64 -1.35000002384186 2 153 48 548
1 430 80 -0.5 2.25 105 49 549
0 409 144 0.259999990463257 2.25 105 49 550
0 459 48 0.0299999993294477 2.25 105 49 551
0 462 142 0.709999978542328 2.25 105 49 552
0 480 3 -0.360000014305115 3.5 212 49 553
0 503 77 -0.0299999993294477 3.5 212 49 554
0 458 66 -0.230000004172325 3.5 212 49 555
0 459 92 1.8400000333786 3.5 212 49 556
0 521 2 0.0599999986588955 2 25 50 557
1 507 70 -0.409999996423721 2 25 50 558
0 506 63 1.23000001907349 2 25 50 559
1 502 13 -0.280000001192093 2 25 50 560
0 477 46 -0.00999999977648258 2 127 50 561
0 470 85 -0.639999985694885 2 127 50 562
1 506 31 -0.600000023841858 2 127 50 563
0 553 20 1.23000001907349 2 289 50 564
1 469 26 0.970000028610229 2 289 50 565
1 483 95 -0.219999998807907 2 289 50 566
0 479 26 -0.400000005960464 2 289 50 567
0 494 50 -0.0199999995529652 2 289 50 568
1 472 62 -0.0299999993294477 2 59 51 569
